character	cast
Spider-man	Andrew Garfield
Harry Osborn	Dane DeHaan
Tía May	Sally Field
Norman Osborn	Chris Cooper
Electro	Jamie Foxx
Gwen Stacy	Emma Stone
Rhino	Paul Giamatti
Dr. Curt Connors	Rhys Ifans
